"matchNo","team","batsman","dismissal","runs","balls","minutes","fours","sixes","strikeRate"
"8","Delhi Capitals","DA Miller","not out","21","18","44","4","0","116.66"
"8","Delhi Capitals","T Stubbs","not out","3","4","8","0","0","75"
"9","Rajasthan Royals","YBK Jaiswal","b Rabada","55","36","61","6","3","152.77"
"9","Rajasthan Royals","V Sooryavanshi","c Phillips b Rashid Khan","31","18","35","5","1","172.22"
"9","Rajasthan Royals","DC Jurel †","c †Buttler b Mohammed Siraj","75","42","71","5","5","178.57"
"9","Rajasthan Royals","R Parag (c)","c Kushagra b Prasidh Krishna","8","4","4","0","1","200"
"9","Rajasthan Royals","SO Hetmyer","c Mohammed Siraj b Ashok Sharma","18","8","14","1","2","225"
"9","Rajasthan Royals","D Ferreira","c Phillips b Rabada","1","3","6","0","0","33.33"
"9","Rajasthan Royals","RA Jadeja","not out","7","7","20","1","0","100"
"9","Rajasthan Royals","JC Archer","not out","1","2","2","0","0","50"
"9","Gujarat Titans","B Sai Sudharsan","c Deshpande b Ravi Bishnoi","73","44","53","9","3","165.9"
"9","Gujarat Titans","K Kushagra","c Hetmyer b Parag","18","14","36","3","0","128.57"
"9","Gujarat Titans","JC Buttler †","c Sandeep Sharma b Burger","26","14","27","5","0","185.71"
"9","Gujarat Titans","GD Phillips","c Archer b Ravi Bishnoi","3","4","7","0","0","75"
"9","Gujarat Titans","Washington Sundar","c Jadeja b Ravi Bishnoi","4","2","1","1","0","200"
"9","Gujarat Titans","R Tewatia","c †Jurel b Ravi Bishnoi","12","6","11","1","1","200"
"9","Gujarat Titans","M Shahrukh Khan","run out (Jadeja/†Jurel)","11","4","9","1","1","275"
"9","Gujarat Titans","Rashid Khan (c)","c Archer b Deshpande","24","16","32","3","0","150"
"9","Gujarat Titans","K Rabada","not out","23","16","31","1","2","143.75"
"9","Gujarat Titans","Ashok Sharma","not out","0","1","1","0","0","0"
"10","Sunrisers Hyderabad","TM Head","c Markram b Mohammed Shami","7","8","11","1","0","87.5"
"10","Sunrisers Hyderabad","Abhishek Sharma","c Siddharth b Mohammed Shami","0","2","4","0","0","0"
"10","Sunrisers Hyderabad","Ishan Kishan (c) †","b Prince Yadav","1","4","13","0","0","25"
"10","Sunrisers Hyderabad","LS Livingstone","c †Pant b Rathi","14","20","24","0","1","70"
"10","Sunrisers Hyderabad","H Klaasen","c †Pant b Avesh Khan","62","41","75","5","2","151.21"
"10","Sunrisers Hyderabad","K Nitish Kumar Reddy","c Prince Yadav b Siddharth","56","33","55","3","5","169.69"
"10","Sunrisers Hyderabad","AU Verma","not out","2","5","13","0","0","40"
"10","Sunrisers Hyderabad","HS Dubey","b Avesh Khan","0","1","1","0","0","0"
"10","Sunrisers Hyderabad","Shivang Kumar","b Prince Yadav","5","4","6","1","0","125"
"10","Sunrisers Hyderabad","HV Patel","run out (†Pant)","4","2","3","1","0","200"
"10","Lucknow Super Giants","AK Markram","c Livingstone b Shivang Kumar","45","27","44","6","2","166.66"
"10","Lucknow Super Giants","MR Marsh","c Nitish Kumar Reddy b Malinga","14","12","18","2","0","116.66"
"10","Lucknow Super Giants","RR Pant (c) †","not out","68","50","83","9","0","136"
"10","Lucknow Super Giants","A Badoni","st †Ishan Kishan b Dubey","12","9","12","1","0","133.33"
"10","Lucknow Super Giants","N Pooran","run out (†Ishan Kishan)","1","4","3","0","0","25"
"10","Lucknow Super Giants","Abdul Samad","c Livingstone b Dubey","16","12","23","2","0","133.33"
"10","Lucknow Super Giants","MD Choudhary","not out","2","5","14","0","0","40"
"11","Royal Challengers Bengaluru","PD Salt","c Noor Ahmad b Dube","46","30","54","3","2","153.33"
"11","Royal Challengers Bengaluru","V Kohli","c Dube b Kamboj","28","18","22","2","1","155.55"
"11","Royal Challengers Bengaluru","D Padikkal","b Overton","50","29","52","5","2","172.41"
"11","Royal Challengers Bengaluru","RM Patidar (c)","not out","48","19","55","1","6","252.63"
"11","Royal Challengers Bengaluru","TH David","not out","70","25","34","3","8","280"
