"matchNo","team","batsman","dismissal","runs","balls","minutes","fours","sixes","strikeRate"
"23","Lucknow Super Giants","RR Pant (c) †","c Salt b Kumar","1","6","9","0","0","16.66"
"23","Lucknow Super Giants","N Pooran","b Hazlewood","1","7","7","0","0","14.28"
"23","Lucknow Super Giants","A Badoni","c †Sharma b Rasikh Salam","38","24","46","4","1","158.33"
"23","Lucknow Super Giants","Abdul Samad","c Patidar b Pandya","0","2","6","0","0","0"
"23","Lucknow Super Giants","MD Choudhary","b Rasikh Salam","39","28","42","3","2","139.28"
"23","Lucknow Super Giants","GF Linde","c David b Kumar","7","7","9","1","0","100"
"23","Lucknow Super Giants","Mohammed Shami","b Kumar","0","1","1","0","0","0"
"23","Lucknow Super Giants","Avesh Khan","b Rasikh Salam","1","2","6","0","0","50"
"23","Lucknow Super Giants","DS Rathi","not out","0","3","3","0","0","0"
"23","Royal Challengers Bengaluru","PD Salt","b Prince Yadav","7","8","7","1","0","87.5"
"23","Royal Challengers Bengaluru","V Kohli","c Pooran b Avesh Khan","49","34","49","6","1","144.11"
"23","Royal Challengers Bengaluru","D Padikkal","c sub (Himmat Singh) b Avesh Khan","10","11","28","1","0","90.9"
"23","Royal Challengers Bengaluru","RM Patidar (c)","c Rathi b Prince Yadav","27","13","23","1","3","207.69"
"23","Royal Challengers Bengaluru","JM Sharma †","c Choudhary b Prince Yadav","23","9","13","2","2","255.55"
"23","Royal Challengers Bengaluru","TH David","not out","14","8","14","1","1","175"
"23","Royal Challengers Bengaluru","R Shepherd","not out","14","8","12","1","1","175"
"24","Mumbai Indians","RD Rickelton","c Shashank Singh b Arshdeep Singh","2","8","10","0","0","25"
"24","Mumbai Indians","Q de Kock †","not out","112","60","107","8","7","186.66"
"24","Mumbai Indians","SA Yadav","c Chahal b Arshdeep Singh","0","1","1","0","0","0"
"24","Mumbai Indians","Naman Dhir","c Bartlett b Shashank Singh","50","31","59","3","3","161.29"
"24","Mumbai Indians","HH Pandya (c)","c Bartlett b Jansen","14","12","20","0","1","116.66"
"24","Mumbai Indians","SE Rutherford","b Arshdeep Singh","1","5","7","0","0","20"
"24","Mumbai Indians","NT Tilak Varma","run out (Vyshak)","8","3","5","2","0","266.66"
"24","Mumbai Indians","Mayank Rawat","not out","0","0","1","0","0","-"
"24","Punjab Kings","P Arya","c Chahar b Ghazanfar","15","9","11","2","1","166.66"
"24","Punjab Kings","Prabhsimran Singh †","not out","80","39","88","11","2","205.12"
"24","Punjab Kings","CPL Connolly","c †de Kock b Ghazanfar","17","12","9","1","2","141.66"
"24","Punjab Kings","SS Iyer (c)","c Naman Dhir b Thakur","66","35","56","5","4","188.57"
"24","Punjab Kings","MP Stoinis","not out","10","5","7","2","0","200"
"25","Kolkata Knight Riders","TL Seifert †","c Phillips b Rabada","19","14","21","2","1","135.71"
"25","Kolkata Knight Riders","AM Rahane (c)","c Rabada b Mohammed Siraj","0","1","3","0","0","0"
"25","Kolkata Knight Riders","A Raghuvanshi","c †Buttler b Rabada","8","4","7","2","0","200"
"25","Kolkata Knight Riders","C Green","c †Buttler b Rashid Khan","79","55","97","7","4","143.63"
"25","Kolkata Knight Riders","R Powell","c Mohammed Siraj b Ashok Sharma","27","20","36","2","2","135"
"25","Kolkata Knight Riders","AS Roy","c †Buttler b Prasidh Krishna","9","7","22","1","0","128.57"
"25","Kolkata Knight Riders","RK Singh","c †Buttler b Rabada","1","2","2","0","0","50"
"25","Kolkata Knight Riders","Ramandeep Singh","c Mohammed Siraj b Ashok Sharma","17","8","6","2","1","212.5"
"25","Kolkata Knight Riders","SP Narine","c Phillips b Mohammed Siraj","0","5","5","0","0","0"
"25","Kolkata Knight Riders","Kartik Tyagi","run out (†Buttler/Prasidh Krishna)","6","4","4","0","1","150"
"25","Kolkata Knight Riders","VG Arora","not out","0","1","7","0","0","0"
"25","Gujarat Titans","B Sai Sudharsan","c Kartik Tyagi b Narine","22","16","22","1","2","137.5"
"25","Gujarat Titans","Shubman Gill (c)","c Green b Arora","86","50","83","8","4","172"
"25","Gujarat Titans","JC Buttler †","c Green b Varun","25","15","19","2","2","166.66"
"25","Gujarat Titans","Washington Sundar","c Kartik Tyagi b Varun","13","13","25","1","0","100"
"25","Gujarat Titans","GD Phillips","c Singh b Ramandeep Singh","19","16","32","2","0","118.75"
"25","Gujarat Titans","R Tewatia","not out","7","6","20","0","0","116.66"
"25","Gujarat Titans","M Shahrukh Khan","not out","3","2","3","0","0","150"
"26","Royal Challengers Bengaluru","PD Salt","c Stubbs b Kuldeep Yadav","63","38","54","4","3","165.78"
"26","Royal Challengers Bengaluru","V Kohli","c Nissanka b Ngidi","19","13","26","3","0","146.15"
"26","Royal Challengers Bengaluru","D Padikkal","c Miller b Patel","18","13","24","1","1","138.46"
"26","Royal Challengers Bengaluru","RM Patidar (c)","c †Rahul b Mukesh Kumar","8","4","13","0","1","200"
"26","Royal Challengers Bengaluru","TH David","c Natarajan b Patel","26","17","26","3","1","152.94"
"26","Royal Challengers Bengaluru","JM Sharma †","c Miller b Ngidi","14","20","42","1","0","70"
"26","Royal Challengers Bengaluru","R Shepherd","lbw b Kuldeep Yadav","1","4","4","0","0","25"
"26","Royal Challengers Bengaluru","KH Pandya","run out (†Rahul/Ngidi)","12","10","15","0","1","120"
"26","Royal Challengers Bengaluru","Rasikh Salam","not out","0","0","4","0","0","-"
"26","Royal Challengers Bengaluru","B Kumar","not out","3","2","2","0","0","150"
"26","Delhi Capitals","P Nissanka","lbw b Kumar","1","2","3","0","0","50"
"26","Delhi Capitals","KL Rahul †","c Kohli b Pandya","57","34","56","6","2","167.64"
"26","Delhi Capitals","KK Nair","c Salt b Kumar","5","5","8","1","0","100"
"26","Delhi Capitals","Sameer Rizvi","c †Sharma b Kumar","2","3","2","0","0","66.66"
"26","Delhi Capitals","T Stubbs","not out","60","47","94","4","1","127.65"
"26","Delhi Capitals","AR Patel (c)","retired hurt","26","19","33","3","0","136.84"
"26","Delhi Capitals","DA Miller","not out","22","10","20","1","2","220"
"27","Sunrisers Hyderabad","Abhishek Sharma","c †Samson b Overton","59","22","37","6","4","268.18"
"27","Sunrisers Hyderabad","TM Head","c Gaikwad b Mukesh Choudhary","23","20","24","3","1","115"
"27","Sunrisers Hyderabad","Ishan Kishan (c)","c Gaikwad b Mukesh Choudhary","0","1","1","0","0","0"
"27","Sunrisers Hyderabad","H Klaasen","b Kamboj","59","39","56","6","2","151.28"
"27","Sunrisers Hyderabad","AU Verma","c Noor Ahmad b Overton","2","4","9","0","0","50"
"27","Sunrisers Hyderabad","K Nitish Kumar Reddy","c Short b Overton","12","8","15","0","1","150"
"27","Sunrisers Hyderabad","S Arora †","c Brevis b Gurjapneet Singh","13","12","23","2","0","108.33"
"27","Sunrisers Hyderabad","LS Livingstone","c Brevis b Kamboj","1","5","15","0","0","20"
"27","Sunrisers Hyderabad","Shivang Kumar","c Gurjapneet Singh b Kamboj","12","8","7","1","1","150"
"27","Sunrisers Hyderabad","PP Hinge","not out","0","1","3","0","0","0"
"27","Chennai Super Kings","SV Samson †","c Klaasen b Nitish Kumar Reddy","7","3","5","0","1","233.33"
"27","Chennai Super Kings","RD Gaikwad (c)","c †Arora b Malinga","19","13","40","3","0","146.15"
"27","Chennai Super Kings","A Mhatre","c Klaasen b Nitish Kumar Reddy","30","13","29","5","1","230.76"
"27","Chennai Super Kings","MW Short","c Verma b Malinga","34","30","62","3","0","113.33"
"27","Chennai Super Kings","SN Khan","c Nitish Kumar Reddy b Malinga","25","19","26","3","0","131.57"
"27","Chennai Super Kings","D Brevis","c Livingstone b Shivang Kumar","0","4","5","0","0","0"
"27","Chennai Super Kings","S Dube","b Sakib Hussain","21","16","34","1","1","131.25"
"27","Chennai Super Kings","J Overton","c Livingstone b Hinge","16","15","24","1","0","106.66"
"27","Chennai Super Kings","A Kamboj","not out","13","8","17","0","1","162.5"
"27","Chennai Super Kings","Noor Ahmad","not out","1","1","2","0","0","100"
"28","Rajasthan Royals","YBK Jaiswal","c Rahane b Narine","39","29","60","4","2","134.48"
"28","Rajasthan Royals","V Sooryavanshi","c Ramandeep Singh b Varun","46","28","44","6","2","164.28"
"28","Rajasthan Royals","DC Jurel †","st †Seifert b Varun","5","7","11","0","0","71.42"
"28","Rajasthan Royals","R Parag (c)","b Varun","12","14","22","1","0","85.71"
"28","Rajasthan Royals","SO Hetmyer","c Raghuvanshi b Kartik Tyagi","15","18","40","0","0","83.33"
"28","Rajasthan Royals","D Ferreira","c & b Narine","7","7","5","0","1","100"
"28","Rajasthan Royals","RA Jadeja","c Green b Kartik Tyagi","9","7","13","1","0","128.57"
"28","Rajasthan Royals","JC Archer","run out (Arora/†Seifert)","8","5","10","1","0","160"
"28","Rajasthan Royals","Ravi Bishnoi","c †Seifert b Kartik Tyagi","0","2","2","0","0","0"
"28","Rajasthan Royals","Brijesh Sharma","not out","1","3","5","0","0","33.33"
"28","Kolkata Knight Riders","TL Seifert †","b Archer","0","1","1","0","0","0"
"28","Kolkata Knight Riders","AM Rahane (c)","c †Jurel b Burger","0","2","8","0","0","0"
"28","Kolkata Knight Riders","A Raghuvanshi","lbw b Jadeja","10","19","35","1","0","52.63"
"28","Kolkata Knight Riders","C Green","st †Jurel b Ravi Bishnoi","27","13","15","4","1","207.69"
"28","Kolkata Knight Riders","R Powell","c Ferreira b Jadeja","23","20","26","2","1","115"
"28","Kolkata Knight Riders","RK Singh","not out","53","34","64","5","2","155.88"
"28","Kolkata Knight Riders","Ramandeep Singh","b Yash Raj Punja","10","13","11","1","0","76.92"
"28","Kolkata Knight Riders","AS Roy","not out","29","16","36","1","2","181.25"
"29","Punjab Kings","P Arya","c Marsh b Siddharth","93","37","72","4","9","251.35"
"29","Punjab Kings","Prabhsimran Singh †","c Marsh b Mohammed Shami","0","1","3","0","0","0"
"29","Punjab Kings","CPL Connolly","c Siddharth b Prince Yadav","87","46","64","8","7","189.13"
"29","Punjab Kings","SS Iyer (c)","c Mohammed Shami b Mohsin Khan","5","6","9","0","0","83.33"
"29","Punjab Kings","MP Stoinis","run out (Pooran)","29","16","36","2","2","181.25"
"29","Punjab Kings","N Wadhera","c Pooran b Siddharth","13","7","8","1","1","185.71"
"29","Punjab Kings","Shashank Singh","c Markram b Prince Yadav","17","6","17","1","2","283.33"
"29","Punjab Kings","M Jansen","not out","1","1","2","0","0","100"
"29","Lucknow Super Giants","MR Marsh","c Bartlett b Chahal","40","28","60","3","2","142.85"
"29","Lucknow Super Giants","A Badoni","c Bartlett b Vyshak","35","21","29","5","1","166.66"
"29","Lucknow Super Giants","RR Pant (c) †","c †Prabhsimran Singh b Arshdeep Singh","43","23","36","1","4","186.95"
"29","Lucknow Super Giants","N Pooran","c Iyer b Jansen","9","9","19","1","0","100"
"29","Lucknow Super Giants","AK Markram","c Stoinis b Jansen","42","22","34","3","3","190.9"
"29","Lucknow Super Giants","MD Choudhary","not out","21","17","28","1","1","123.52"
"29","Lucknow Super Giants","Himmat Singh","not out","1","1","1","0","0","100"
"30","Mumbai Indians","Q de Kock †","c & b Rabada","13","11","16","1","1","118.18"
"30","Mumbai Indians","DV Malewar","lbw b Rabada","2","4","8","0","0","50"
"30","Mumbai Indians","Naman Dhir","c Rabada b Prasidh Krishna","45","32","51","6","1","140.62"
"30","Mumbai Indians","SA Yadav","b Rabada","15","10","11","1","1","150"
"30","Mumbai Indians","NT Tilak Varma","not out","101","45","78","8","7","224.44"
"30","Mumbai Indians","HH Pandya (c)","c Phillips b Mohammed Siraj","15","16","39","1","0","93.75"
"30","Mumbai Indians","SE Rutherford","not out","1","2","8","0","0","50"
"30","Gujarat Titans","B Sai Sudharsan","c Krish Bhagat b Bumrah","0","1","1","0","0","0"
"30","Gujarat Titans","Shubman Gill (c)","c Naman Dhir b Ashwani Kumar","14","13","26","3","0","107.69"
"30","Gujarat Titans","JC Buttler †","lbw b Pandya","5","6","6","1","0","83.33"
"30","Gujarat Titans","Washington Sundar","c Naman Dhir b Santner","26","17","30","5","0","152.94"
"30","Gujarat Titans","GD Phillips","c & b Santner","6","8","15","0","0","75"
"30","Gujarat Titans","R Tewatia","c †de Kock b Ashwani Kumar","8","11","22","1","0","72.72"
"30","Gujarat Titans","M Shahrukh Khan","c Naman Dhir b Ashwani Kumar","17","13","30","1","1","130.76"
"30","Gujarat Titans","Rashid Khan","c sub (RA Bawa) b Ashwani Kumar","4","6","5","0","0","66.66"
"30","Gujarat Titans","K Rabada","st †de Kock b Ghazanfar","12","14","17","2","0","85.71"
"30","Gujarat Titans","Ashok Sharma","not out","1","3","13","0","0","33.33"
"30","Gujarat Titans","Mohammed Siraj","lbw b Ghazanfar","0","3","2","0","0","0"
"33","Chennai Super Kings","SV Samson †","not out","101","54","109","10","6","187.03"
"33","Chennai Super Kings","RD Gaikwad (c)","c Tilak Varma b Ghazanfar","22","14","17","3","1","157.14"
"33","Chennai Super Kings","SN Khan","b Santner","14","8","13","3","0","175"
"33","Chennai Super Kings","S Dube","b Ghazanfar","5","8","13","0","0","62.5"
"33","Chennai Super Kings","D Brevis","c Bumrah b Ashwani Kumar","21","11","13","1","2","190.9"
"33","Chennai Super Kings","Kartik Sharma","c Santner b Bumrah","18","19","27","0","2","94.73"
"33","Chennai Super Kings","J Overton","c Naman Dhir b Ashwani Kumar","15","7","7","2","1","214.28"
"33","Chennai Super Kings","AJ Hosein","not out","2","2","11","0","0","100"
"33","Mumbai Indians","Q de Kock †","b Mukesh Choudhary","7","10","8","0","1","70"
"33","Mumbai Indians","DV Malewar","c †Samson b Hosein","0","1","4","0","0","0"
"33","Mumbai Indians","Naman Dhir","b Hosein","0","3","7","0","0","0"
"33","Mumbai Indians","SA Yadav","c Khan b Hosein","36","30","69","5","0","120"
"33","Mumbai Indians","NT Tilak Varma","b Hosein","37","29","53","5","0","127.58"
"33","Mumbai Indians","HH Pandya (c)","c Mukesh Choudhary b Noor Ahmad","1","2","2","0","0","50"
"33","Mumbai Indians","SE Rutherford","c Kamboj b Noor Ahmad","0","1","1","0","0","0"
"33","Mumbai Indians","SN Thakur","c Brevis b Kamboj","6","12","26","0","0","50"
"33","Mumbai Indians","Krish Bhagat","c Gurjapneet Singh b Overton","7","15","16","0","0","46.66"
"33","Mumbai Indians","Ashwani Kumar","not out","1","6","10","0","0","16.66"
"33","Mumbai Indians","JJ Bumrah","c †Samson b Gurjapneet Singh","2","5","9","0","0","40"
"34","Gujarat Titans","B Sai Sudharsan","c & b Hazlewood","100","58","76","11","5","172.41"
"34","Gujarat Titans","Shubman Gill (c)","c Padikkal b Suyash Sharma","32","24","59","2","1","133.33"
"34","Gujarat Titans","JC Buttler †","c Hazlewood b Kumar","25","16","25","2","1","156.25"
"34","Gujarat Titans","Washington Sundar","not out","19","12","30","1","1","158.33"
"34","Gujarat Titans","JO Holder","not out","23","10","19","1","2","230"
"34","Royal Challengers Bengaluru","JG Bethell","c Shahrukh Khan b Mohammed Siraj","14","10","13","3","0","140"
"34","Royal Challengers Bengaluru","V Kohli","b Holder","81","44","64","8","4","184.09"
"34","Royal Challengers Bengaluru","D Padikkal","b Rashid Khan","55","27","44","2","6","203.7"
"34","Royal Challengers Bengaluru","RM Patidar (c)","c Washington Sundar b Suthar","8","5","13","0","1","160"
"34","Royal Challengers Bengaluru","JM Sharma †","c Suthar b Rashid Khan","10","6","5","1","1","166.66"
"34","Royal Challengers Bengaluru","TH David","not out","10","9","19","0","1","111.11"
"34","Royal Challengers Bengaluru","KH Pandya","not out","23","12","14","3","1","191.66"
"35","Delhi Capitals","P Nissanka","c †Prabhsimran Singh b Arshdeep Singh","11","7","13","2","0","157.14"
"35","Delhi Capitals","KL Rahul †","not out","152","67","112","16","9","226.86"
"35","Delhi Capitals","N Rana","c Iyer b Bartlett","91","44","90","11","4","206.81"
"35","Delhi Capitals","DA Miller","not out","3","3","7","0","0","100"
"35","Punjab Kings","P Arya","c Sameer Rizvi b Patel","43","17","58","2","5","252.94"
"35","Punjab Kings","Prabhsimran Singh †","lbw b Kuldeep Yadav","76","26","63","9","5","292.3"
"35","Punjab Kings","CPL Connolly","b Kuldeep Yadav","17","10","12","1","1","170"
"35","Punjab Kings","SS Iyer (c)","not out","71","36","63","3","7","197.22"
"35","Punjab Kings","N Wadhera","c sub (KK Nair) b Nigam","25","15","29","3","1","166.66"
"35","Punjab Kings","Shashank Singh","not out","19","10","24","2","1","190"
"36","Rajasthan Royals","YBK Jaiswal","c Klaasen b Malinga","10","8","11","2","0","125"
"36","Rajasthan Royals","V Sooryavanshi","lbw b Sakib Hussain","103","37","81","5","12","278.37"
"36","Rajasthan Royals","DC Jurel †","c Verma b Nitish Kumar Reddy","51","35","60","8","1","145.71"
"36","Rajasthan Royals","R Parag (c)","b Cummins","7","9","23","0","0","77.77"
"36","Rajasthan Royals","D Ferreira","c Klaasen b Malinga","33","16","27","3","3","206.25"
"36","Rajasthan Royals","SO Hetmyer","c Nitish Kumar Reddy b Hinge","11","10","19","1","0","110"
"36","Rajasthan Royals","RA Jadeja","not out","4","3","7","1","0","133.33"
"36","Rajasthan Royals","JC Archer","not out","2","2","3","0","0","100"
"36","Sunrisers Hyderabad","TM Head","c †Jurel b Archer","6","5","5","0","1","120"
"36","Sunrisers Hyderabad","Abhishek Sharma","c Archer b Ferreira","57","29","55","11","1","196.55"
"36","Sunrisers Hyderabad","Ishan Kishan †","c Ferreira b Archer","74","31","59","11","3","238.7"
"36","Sunrisers Hyderabad","H Klaasen","c Ravi Bishnoi b Brijesh Sharma","29","24","41","3","1","120.83"
"36","Sunrisers Hyderabad","K Nitish Kumar Reddy","lbw b Brijesh Sharma","36","18","25","2","3","200"
"36","Sunrisers Hyderabad","S Arora","not out","8","3","9","0","1","266.66"
"36","Sunrisers Hyderabad","AU Verma","not out","1","1","3","0","0","100"
"37","Chennai Super Kings","SV Samson †","c †Buttler b Rabada","11","15","16","2","0","73.33"
"37","Chennai Super Kings","RD Gaikwad (c)","not out","74","60","111","6","4","123.33"
"37","Chennai Super Kings","UM Patel","c Holder b Rabada","4","3","2","1","0","133.33"
"37","Chennai Super Kings","SN Khan","c †Buttler b Mohammed Siraj","0","1","3","0","0","0"
"37","Chennai Super Kings","D Brevis","c Shubman Gill b Suthar","2","9","17","0","0","22.22"
"37","Chennai Super Kings","S Dube","b Arshad Khan","22","17","37","3","1","129.41"
"37","Chennai Super Kings","Kartik Sharma","c Holder b Rabada","15","9","12","3","0","166.66"
"37","Chennai Super Kings","J Overton","c Shahrukh Khan b Arshad Khan","18","6","10","3","1","300"
"37","Chennai Super Kings","AJ Hosein","not out","0","0","4","0","0","-"
"37","Gujarat Titans","B Sai Sudharsan","c Brevis b Hosein","87","46","88","4","7","189.13"
"37","Gujarat Titans","Shubman Gill (c)","st †Samson b Noor Ahmad","33","23","33","1","3","143.47"
"37","Gujarat Titans","JC Buttler †","not out","39","30","55","4","1","130"
"37","Gujarat Titans","Washington Sundar","not out","1","1","2","0","0","100"
"38","Kolkata Knight Riders","AM Rahane (c)","c Markram b Mohsin Khan","10","15","20","0","1","66.66"
"38","Kolkata Knight Riders","TL Seifert †","c Choudhary b Mohsin Khan","0","3","11","0","0","0"
"38","Kolkata Knight Riders","A Raghuvanshi","obstructing the field","9","8","15","1","0","112.5"
"38","Kolkata Knight Riders","C Green","c †Pant b Mohsin Khan","34","21","38","0","3","161.9"
"38","Kolkata Knight Riders","R Powell","c †Pant b Mohsin Khan","1","4","6","0","0","25"
"38","Kolkata Knight Riders","RK Singh","not out","83","51","70","7","5","162.74"
"38","Kolkata Knight Riders","AS Roy","c Badoni b Mohsin Khan","0","1","1","0","0","0"
"38","Kolkata Knight Riders","Ramandeep Singh","c Marsh b Linde","6","11","19","0","0","54.54"
"38","Kolkata Knight Riders","SP Narine","not out","4","6","25","0","0","66.66"
"38","Lucknow Super Giants","AK Markram","c Singh b Green","31","27","48","2","1","114.81"
"38","Lucknow Super Giants","MR Marsh","c Powell b Arora","2","3","4","0","0","66.66"
"38","Lucknow Super Giants","RR Pant (c) †","c †Seifert b Narine","42","38","54","4","1","110.52"
"38","Lucknow Super Giants","N Pooran","c Narine b Varun","9","12","20","0","1","75"
"38","Lucknow Super Giants","A Badoni","c Roy b Varun","24","19","28","0","2","126.31"
"38","Lucknow Super Giants","MD Choudhary","c Singh b Roy","1","2","6","0","0","50"
"38","Lucknow Super Giants","Himmat Singh","c Singh b Kartik Tyagi","19","10","28","2","1","190"
"38","Lucknow Super Giants","GF Linde","c Singh b Arora","8","4","4","2","0","200"
"38","Lucknow Super Giants","Mohammed Shami","not out","11","6","16","1","1","183.33"
"38","Lucknow Super Giants","Prince Yadav","not out","0","1","3","0","0","0"
"39","Delhi Capitals","SU Parakh","b Kumar","0","2","2","0","0","0"
"39","Delhi Capitals","KL Rahul †","c †Sharma b Hazlewood","1","3","7","0","0","33.33"
"39","Delhi Capitals","N Rana","c Padikkal b Hazlewood","1","9","24","0","0","11.11"
"39","Delhi Capitals","Sameer Rizvi","c †Sharma b Hazlewood","0","1","1","0","0","0"
"39","Delhi Capitals","T Stubbs","c Padikkal b Kumar","5","3","5","1","0","166.66"
"39","Delhi Capitals","AR Patel (c)","c †Sharma b Kumar","0","3","3","0","0","0"
"39","Delhi Capitals","Abishek Porel","b Hazlewood","30","33","75","3","0","90.9"
"39","Delhi Capitals","DA Miller","c †Sharma b Rasikh Salam","19","18","23","3","0","105.55"
"39","Delhi Capitals","KA Jamieson","lbw b Pandya","12","13","17","1","1","92.3"
"39","Delhi Capitals","Kuldeep Yadav","b Suyash Sharma","3","11","12","0","0","27.27"
"39","Delhi Capitals","PVD Chameera","not out","0","3","4","0","0","0"
"39","Royal Challengers Bengaluru","JG Bethell","c Natarajan b Jamieson","20","11","15","1","2","181.81"
"39","Royal Challengers Bengaluru","V Kohli","not out","23","15","35","1","2","153.33"
"39","Royal Challengers Bengaluru","D Padikkal","not out","34","13","18","3","3","261.53"
"40","Punjab Kings","Prabhsimran Singh †","c Parag b Yash Raj Punja","59","44","66","6","1","134.09"
"40","Punjab Kings","P Arya","c Burger b Archer","29","11","15","5","1","263.63"
"40","Punjab Kings","CPL Connolly","c Ferreira b Yash Raj Punja","30","14","27","2","3","214.28"
"40","Punjab Kings","SS Iyer (c)","c †Jurel b Burger","30","27","42","1","1","111.11"
"40","Punjab Kings","MP Stoinis","not out","62","22","31","4","6","281.81"
"40","Punjab Kings","Suryansh Shedge","not out","3","2","11","0","0","150"
"40","Rajasthan Royals","YBK Jaiswal","c Suryansh Shedge b Chahal","51","27","49","7","1","188.88"
"40","Rajasthan Royals","V Sooryavanshi","c Iyer b Arshdeep Singh","43","16","17","3","5","268.75"
"40","Rajasthan Royals","DC Jurel †","c Jansen b Chahal","16","20","23","0","1","80"
"40","Rajasthan Royals","R Parag (c)","c Suryansh Shedge b Chahal","29","16","18","2","2","181.25"
"40","Rajasthan Royals","D Ferreira","not out","52","26","43","6","3","200"
"40","Rajasthan Royals","SB Dubey","not out","31","12","28","3","2","258.33"
"41","Mumbai Indians","WG Jacks","c †Ishan Kishan b Nitish Kumar Reddy","46","22","38","5","3","209.09"
"41","Mumbai Indians","RD Rickelton †","not out","123","55","119","10","8","223.63"
"41","Mumbai Indians","SA Yadav","c Abhishek Sharma b Malinga","5","5","7","1","0","100"
"41","Mumbai Indians","Naman Dhir","c Dubey b Hinge","22","17","27","3","0","129.41"
"41","Mumbai Indians","HH Pandya (c)","c Klaasen b Sakib Hussain","31","15","30","2","2","206.66"
"41","Mumbai Indians","NT Tilak Varma","c Klaasen b Hinge","7","5","8","0","1","140"
"41","Mumbai Indians","R Minz","not out","1","1","3","0","0","100"
"41","Sunrisers Hyderabad","Abhishek Sharma","c Boult b Ghazanfar","45","24","51","4","3","187.5"
"41","Sunrisers Hyderabad","TM Head","c Jacks b Pandya","76","30","59","4","8","253.33"
"41","Sunrisers Hyderabad","Ishan Kishan †","b Ghazanfar","0","1","1","0","0","0"
"41","Sunrisers Hyderabad","H Klaasen","not out","65","30","54","7","4","216.66"
"41","Sunrisers Hyderabad","K Nitish Kumar Reddy","c Yadav b Boult","21","17","38","3","0","123.52"
"41","Sunrisers Hyderabad","S Arora","not out","30","10","11","2","3","300"
"42","Royal Challengers Bengaluru","JG Bethell","c Rashid Khan b Mohammed Siraj","5","5","13","1","0","100"
"42","Royal Challengers Bengaluru","V Kohli","c Rashid Khan b Rabada","28","13","17","5","1","215.38"
"42","Royal Challengers Bengaluru","D Padikkal","b Rashid Khan","40","24","58","5","2","166.66"
"42","Royal Challengers Bengaluru","RM Patidar (c)","c Holder b Arshad Khan","19","15","22","2","1","126.66"
"42","Royal Challengers Bengaluru","JM Sharma †","c †Buttler b Holder","1","3","3","0","0","33.33"
"42","Royal Challengers Bengaluru","TH David","c Holder b Rashid Khan","9","6","6","0","1","150"
"42","Royal Challengers Bengaluru","KH Pandya","c Holder b Arshad Khan","4","4","4","1","0","100"
"42","Royal Challengers Bengaluru","R Shepherd","c Sai Sudharsan b Holder","17","15","18","0","2","113.33"
"42","Royal Challengers Bengaluru","VR Iyer","c Sai Sudharsan b Arshad Khan","12","15","28","1","0","80"
"42","Royal Challengers Bengaluru","B Kumar","not out","15","15","28","2","0","100"
"42","Royal Challengers Bengaluru","JR Hazlewood","run out (†Buttler/Shubman Gill)","0","1","1","0","0","0"
"42","Gujarat Titans","B Sai Sudharsan","c †Sharma b Kumar","6","5","14","1","0","120"
"42","Gujarat Titans","Shubman Gill (c)","c Kohli b Kumar","43","18","24","4","3","238.88"
"42","Gujarat Titans","JC Buttler †","b Kumar","39","19","25","2","4","205.26"
"42","Gujarat Titans","Washington Sundar","lbw b Shepherd","12","12","32","0","1","100"
"42","Gujarat Titans","M Shahrukh Khan","c Hazlewood b Shepherd","8","8","12","1","0","100"
"42","Gujarat Titans","R Tewatia","not out","27","17","25","4","0","158.82"
"42","Gujarat Titans","JO Holder","c Padikkal b Suyash Sharma","12","10","19","0","1","120"
"42","Gujarat Titans","Rashid Khan","not out","7","6","11","1","0","116.66"
"43","Rajasthan Royals","YBK Jaiswal","c & b Starc","6","3","2","0","1","200"
"43","Rajasthan Royals","V Sooryavanshi","b Jamieson","4","2","11","1","0","200"
"43","Rajasthan Royals","DC Jurel †","c Stubbs b Patel","42","30","52","4","1","140"
"43","Rajasthan Royals","R Parag (c)","c Patel b Starc","90","50","75","8","5","180"
"43","Rajasthan Royals","RA Jadeja","c Sharma b Starc","20","14","27","1","1","142.85"
"43","Rajasthan Royals","D Ferreira","not out","47","14","21","2","6","335.71"
"43","Rajasthan Royals","SB Dubey","c Sharma b Natarajan","6","6","14","1","0","100"
"43","Rajasthan Royals","JC Archer","not out","1","1","4","0","0","100"
"43","Delhi Capitals","P Nissanka","lbw b Jadeja","62","33","48","6","3","187.87"
"43","Delhi Capitals","KL Rahul †","c Ferreira b Archer","75","40","87","6","5","187.5"
"43","Delhi Capitals","N Rana","c †Jurel b Deshpande","33","17","26","3","2","194.11"
"43","Delhi Capitals","T Stubbs","not out","18","11","35","1","1","163.63"
"43","Delhi Capitals","AR Sharma","not out","25","15","26","4","0","166.66"
"44","Mumbai Indians","WG Jacks","c Ghosh b Kamboj","1","5","6","0","0","20"
"44","Mumbai Indians","RD Rickelton †","c Patel b Noor Ahmad","37","24","32","0","5","154.16"
"44","Mumbai Indians","Naman Dhir","c sub (SN Khan) b Overton","57","37","86","4","3","154.05"
"44","Mumbai Indians","SA Yadav","c Brevis b Ghosh","21","12","22","3","1","175"
"44","Mumbai Indians","NT Tilak Varma","c Gaikwad b Noor Ahmad","5","8","14","0","0","62.5"
"44","Mumbai Indians","HH Pandya (c)","c Brevis b Kamboj","18","23","39","2","0","78.26"
"44","Mumbai Indians","R Minz","b Kamboj","5","3","5","1","0","166.66"
