"MatchNo","Team","Bowling","Overs","Maidens","Runs","Wickets","Econ","Dots","fours","Sixes","Wides","NoBalls"
"32","Rajasthan Royals","Prince Yadav","4","0","29","2","7.25","13","4","0","0","0"
"32","Rajasthan Royals","Mohsin Khan","4","1","17","2","4.25","11","1","0","0","0"
"32","Rajasthan Royals","MP Yadav","4","0","56","0","14","6","5","3","1","0"
"32","Rajasthan Royals","DS Rathi","4","0","26","0","6.5","5","1","0","0","0"
"32","Lucknow Super Giants","JC Archer","4","1","20","3","5","17","4","0","1","0"
"32","Lucknow Super Giants","N Burger","4","0","27","2","6.75","15","1","3","0","0"
"32","Lucknow Super Giants","Brijesh Sharma","3","0","18","2","6","7","2","0","1","0"
"32","Lucknow Super Giants","RA Jadeja","4","0","29","1","7.25","9","2","1","1","0"
"32","Lucknow Super Giants","Ravi Bishnoi","3","0","23","1","7.66","6","1","1","2","0"
"33","Chennai Super Kings","JJ Bumrah","4","0","31","1","7.75","10","3","1","0","2"
"33","Chennai Super Kings","HH Pandya","2","0","38","0","19","4","5","2","2","1"
"33","Chennai Super Kings","AM Ghazanfar","4","0","25","2","6.25","7","1","1","0","0"
"33","Chennai Super Kings","MJ Santner","4","0","44","1","11","8","2","4","2","0"
"33","Chennai Super Kings","Ashwani Kumar","4","0","37","2","9.25","8","5","1","1","0"
"33","Chennai Super Kings","Krish Bhagat","2","0","31","0","15.5","5","3","3","0","0"
"33","Mumbai Indians","AJ Hosein","4","1","17","4","4.25","14","0","1","0","0"
"33","Mumbai Indians","Mukesh Choudhary","4","0","31","1","7.75","11","5","0","3","0"
"33","Mumbai Indians","A Kamboj","3","0","10","1","3.33","12","1","0","1","0"
"33","Mumbai Indians","Noor Ahmad","4","0","24","2","6","10","2","0","1","0"
"33","Mumbai Indians","J Overton","2","0","14","1","7","5","2","0","0","0"
"33","Mumbai Indians","Gurjapneet Singh","2","0","7","1","3.5","6","0","0","0","0"
"34","Gujarat Titans","B Kumar","4","0","31","1","7.75","6","4","0","0","0"
"34","Gujarat Titans","JR Hazlewood","4","0","40","1","10","11","4","2","1","0"
"34","Gujarat Titans","Rasikh Salam","3","0","28","0","9.33","3","4","0","0","0"
"34","Gujarat Titans","KH Pandya","4","0","50","0","12.5","4","1","5","1","0"
"34","Gujarat Titans","R Shepherd","1","0","17","0","17","0","2","1","0","0"
"34","Gujarat Titans","Suyash Sharma","4","0","36","1","9","5","2","2","1","0"
"34","Royal Challengers Bengaluru","Mohammed Siraj","3","0","25","1","8.33","9","3","1","0","0"
"34","Royal Challengers Bengaluru","K Rabada","4","0","45","0","11.25","7","4","3","1","0"
"34","Royal Challengers Bengaluru","JO Holder","3.5","0","35","1","9.13","8","3","2","1","0"
"34","Royal Challengers Bengaluru","M Prasidh Krishna","2","0","31","0","15.5","1","3","2","0","0"
"34","Royal Challengers Bengaluru","Rashid Khan","4","0","49","2","12.25","7","2","5","1","0"
"34","Royal Challengers Bengaluru","MJ Suthar","2","0","19","1","9.5","4","2","1","0","0"
"35","Delhi Capitals","Arshdeep Singh","4","0","49","1","12.25","3","6","2","0","0"
"35","Delhi Capitals","XC Bartlett","4","0","69","1","17.25","1","10","3","1","0"
"35","Delhi Capitals","M Jansen","4","0","45","0","11.25","7","7","1","0","0"
"35","Delhi Capitals","V Vyshak","3","0","48","0","16","4","4","4","1","0"
"35","Delhi Capitals","YS Chahal","4","0","42","0","10.5","3","2","2","2","1"
"35","Delhi Capitals","MP Stoinis","1","0","11","0","11","2","0","1","2","0"
"35","Punjab Kings","Auqib Nabi","2","0","41","0","20.5","4","0","6","1","1"
"35","Punjab Kings","Mukesh Kumar","3","0","55","0","18.33","1","7","3","1","0"
"35","Punjab Kings","AR Patel","4","0","44","1","11","5","3","3","1","0"
"35","Punjab Kings","T Natarajan","3.5","0","54","0","14.08","5","5","3","6","0"
